endTime,artistName,trackName,msPlayed
2022-10-06 14:18,Adekunle Gold,FYE,150278
2022-10-06 14:42,Adekunle Gold,FYE,167400
2022-10-07 06:09,Ayra Starr,Rush,185093
2022-10-07 06:12,Ayra Starr,Bloody Samaritan,187000
2022-10-07 06:15,Magixx,Love Don't Cost A Dime (Re-Up),147600
2022-10-07 06:18,ElGrandeToto,Comforter (feat. Ayra Starr),216000
2022-10-07 06:21,Ayra Starr,ASE - A COLORS SHOW,164571
2022-10-07 06:24,Ayra Starr,Fashion Killer,177000
2022-10-07 06:27,Ayra Starr,Away,169400
2022-10-07 06:30,Skip Marley,Jane,202372
2022-10-07 06:34,Ayra Starr,Beggie Beggie,208500
2022-10-07 06:36,Ayra Starr,Memories,155150
2022-10-07 06:40,Manny Norté,Worth My While,205045
2022-10-07 06:43,CKay,come close (feat. Ayra Starr),182768
2022-10-07 06:46,Adekunle Gold,FYE,210000
2022-10-07 06:49,Adekunle Gold,Sleep,157500
2022-10-07 06:52,Adekunle Gold,High,193758
2022-10-07 06:55,Adekunle Gold,"Dior, Dior, Dior",196750
2022-10-07 06:58,Adekunle Gold,It Is What It Is,174587
2022-10-07 07:02,Adekunle Gold,Selah,193250
2022-10-07 07:05,Adekunle Gold,Catch Me If You Can,199369
2022-10-07 07:08,Ycee,Nu Riddim,189795
2022-10-07 07:11,Babyboy AV,Confession,188629
2022-10-07 07:14,Burna Boy,Last Last,172342
2022-10-07 07:16,L.A.X,Sempe - Acoustic,98000
2022-10-07 07:19,Riccitykun,Riccitykun,181434
2022-10-07 07:22,Vector,Early Momo,193000
2022-10-07 07:25,Olamide,Rock,185769
2022-10-07 07:28,Kizz Daniel,Lie,156600
2022-10-07 07:31,Kelvyn Boy,Down Flat,172747
2022-10-07 07:33,L.A.X,Go Low,173635
2022-10-07 07:37,Adekunle Gold,Okay,186299
2022-10-07 07:39,Bambi Bains,Beautiful Girl - Sohni Kuri,172235
2022-10-07 07:42,Peruzzi,Ready,154343
2022-10-07 07:45,AYLØ,wys?,165333
2022-10-07 07:48,Tomi Agape,London,165981
2022-10-07 07:51,L.A.X,Pere,193990
2022-10-07 07:52,Burna Boy,Vanilla,44578
2022-10-07 07:53,Korede Bello,Real Man,75302
2022-10-07 07:55,Kendo,Talk To Me,138000
2022-10-07 07:58,Ajebutter22,King of Parole,196529
2022-10-07 08:01,Show Dem Camp,What You Want,138947
